player_name,total_distance,multiplier,Team
JT Riddle,16250,127.952755905512,
Ryan McBroom,16157,127.220472440945,Kansas City
Luke Maile,15964,125.700787401575,Toronto
Ben Zobrist,15863,124.905511811024,Chicago
Daniel Descalso,15651,123.236220472441,Chicago
Jared Walsh,15592,122.771653543307,Los Angeles
Justin Bour,15430,121.496062992126,Los Angeles
Kyle Lewis,15423,121.44094488189,Seattle
Odubel Herrera,15133,119.157480314961,
Austin Hays,14958,117.779527559055,Baltimore
Matt Skole,14905,117.362204724409,Chicago
Yonathan Daza,14821,116.700787401575,Colorado
Kyle Tucker,14798,116.51968503937,Houston
Erik Gonzalez,14755,116.181102362205,Pittsburgh
Pat Valaika,14641,115.283464566929,Colorado
Yu Chang,14602,114.976377952756,Cleveland
Kristopher Negron,14580,114.803149606299,Los Angeles
Steve Pearce,14465,113.897637795276,
Jack Mayfield,14454,113.811023622047,Houston
Cory Spangenberg,14379,113.220472440945,Milwaukee
Robel Garcia,14256,112.251968503937,Chicago
Francisco Cervelli,14105,111.062992125984,Atlanta
Roman Quinn,14085,110.905511811024,
Chris Owings,14072,110.803149606299,Boston
Josh Harrison,13837,108.952755905512,
Max Stassi,13784,108.535433070866,
Kyle Garlick,13730,108.110236220472,
Breyvic Valera,13690,107.795275590551,Toronto
Chris Herrmann,13651,107.488188976378,
Corban Joseph,13437,105.803149606299,Pittsburgh
Gorkys Hernandez,13075,102.952755905512,Boston
Wilmer Difo,13040,102.677165354331,Washington
Michael A. Taylor,12950,101.968503937008,Washington
Jake Elmore,12751,100.40157480315,Pittsburgh
Edwin Rios,12708,100.062992125984,Los Angeles
Daniel Palka,12402,97.6535433070866,Chicago
Kevin Kramer,12158,95.7322834645669,Pittsburgh
Brendan Rodgers,12060,94.9606299212598,
Ryon Healy,11867,93.4409448818898,
Anthony Bemboom,11803,92.9370078740157,Los Angeles
Blake Swihart,11773,92.7007874015748,
Tyler Wade,11711,92.2125984251968,New York
Sean Murphy,11651,91.740157480315,Oakland
Lucas Duda,11537,90.8425196850394,
Austin Wynns,11418,89.9055118110236,Baltimore
Josh Fuentes,11204,88.2204724409449,Colorado
LaMonte Wade Jr,11152,87.8110236220473,Minnesota
Max Fried,10950,86.2204724409449,Atlanta
Austin Allen,10850,85.4330708661417,San Diego
Joe Musgrove,10485,82.5590551181102,Pittsburgh
Bobby Wilson,10208,80.3779527559055,
Tyler Saladino,10187,80.2125984251969,
Adam Wainwright,10152,79.9370078740158,St. Louis
Andrew Knizner,10099,79.5196850393701,St. Louis
Yadiel Rivera,9957,78.4015748031496,
Phil Gosselin,9708,76.4409448818898,Philadelphia
Luis Guillorme,9622,75.7637795275591,New York
Sheldon Neuse,9593,75.5354330708662,Oakland
Giancarlo Stanton,9588,75.496062992126,New York
Kelvin Gutierrez,9356,73.6692913385827,
Jacob deGrom,9322,73.4015748031496,New York
Aramis Garcia,9304,73.259842519685,San Francisco
Kyle Higashioka,9222,72.6141732283465,New York
Thairo Estrada,9216,72.5669291338583,New York
Nicky Delmonico,9199,72.4330708661417,
Rangel Ravelo,8939,70.3858267716536,St. Louis
Braden Bishop,8850,69.6850393700787,Seattle
Abraham Almonte,8823,69.4724409448819,Arizona
Alex Blandino,8797,69.2677165354331,Cincinnati
Richard Urena,8745,68.8582677165354,Toronto
Steven Matz,8696,68.4724409448819,New York
Mason Williams,8559,67.3937007874016,Baltimore
Aaron Altherr,8446,66.503937007874,
Rosell Herrera,8356,65.7952755905512,
Bobby Bradley,8271,65.1259842519685,
Dom Nunez,8151,64.1811023622047,Colorado
Michael Lorenzen,8106,63.8267716535433,Cincinnati
Christian Arroyo,7956,62.6456692913386,
Hyun-Jin Ryu,7953,62.6220472440945,Los Angeles
Jake Fraley,7900,62.2047244094488,
Logan Morrison,7889,62.1181102362205,Philadelphia
Stephen Strasburg,7886,62.0944881889764,Washington
Brian O'Grady,7853,61.8346456692914,Cincinnati
Zack Greinke,7819,61.5669291338583,
AJ Reed,7803,61.4409448818898,
Zack Cozart,7765,61.1417322834646,
Michael Hermosillo,7734,60.8976377952756,Los Angeles
Julio Teheran,7687,60.5275590551181,Atlanta
Jack Flaherty,7575,59.6456692913386,St. Louis
Nick Hundley,7343,57.8188976377953,
Kenta Maeda,7272,57.259842519685,Los Angeles
Steven Brault,7160,56.3779527559055,Pittsburgh
John Ryan Murphy,7145,56.259842519685,Atlanta
Andrew Stevenson,7054,55.5433070866142,Washington
Jon Lester,7019,55.2677165354331,Chicago
Danny Mendick,7012,55.2125984251969,Chicago
Rajai Davis,6990,55.0393700787402,New York
Zach Davies,6966,54.8503937007874,Milwaukee
Lane Thomas,6735,53.0314960629921,
Franklin Barreto,6701,52.7637795275591,Oakland
Madison Bumgarner,6601,51.9763779527559,San Francisco
Miguel Andujar,6464,50.8976377952756,
Mark Trumbo,6422,50.5669291338583,Baltimore
German Marquez,6375,50.1968503937008,
Magneuris Sierra,6366,50.1259842519685,Miami
Zack Wheeler,6350,50,New York
Garrett Stubbs,6197,48.7952755905512,Houston
Domingo Leyba,6117,48.1653543307087,Arizona
Patrick Corbin,6059,47.7086614173228,Washington
Chad Wallach,5993,47.1889763779528,
Brandon Woodruff,5888,46.3622047244095,
Noah Syndergaard,5867,46.1968503937008,New York
Andrew Velazquez,5822,45.8425196850394,Cleveland
Ryan LaMarre,5723,45.0629921259843,Minnesota
Drew Butera,5654,44.5196850393701,Colorado
Juan Centeno,5648,44.4724409448819,Boston
Yu Darvish,5643,44.4330708661417,Chicago
Jaylin Davis,5604,44.1259842519685,San Francisco
Kaleb Cowart,5509,43.3779527559055,Los Angeles
Zach Eflin,5413,42.6220472440945,Philadelphia
Walker Buehler,5386,42.4094488188976,Los Angeles
Vince Velasquez,5355,42.1653543307087,Philadelphia
Seth Mejias-Brean,5271,41.503937007874,San Diego
Clayton Kershaw,5269,41.488188976378,Los Angeles
Mike Soroka,5047,39.740157480315,Atlanta
Terrance Gore,5029,39.5984251968504,
Beau Taylor,4999,39.3622047244095,
Pablo Lopez,4856,38.236220472441,Miami
Cole Hamels,4832,38.0472440944882,Chicago
Miles Mikolas,4812,37.8897637795276,St. Louis
Caleb Smith,4793,37.740157480315,Miami
Caleb Joseph,4788,37.7007874015748,Arizona
Taylor Clarke,4693,36.9527559055118,Arizona
Kyle Hendricks,4633,36.4803149606299,Chicago
Taylor Ward,4621,36.3858267716535,Los Angeles
Ryan Lavarnway,4619,36.3700787401575,
Adrian Sanchez,4583,36.0866141732284,Washington
Taylor Davis,4562,35.9212598425197,
Anibal Sanchez,4534,35.7007874015748,Washington
Max Scherzer,4488,35.3385826771654,Washington
Eric Lauer,4431,34.8897637795276,San Diego
Carter Kieboom,4275,33.6614173228347,
Dakota Hudson,4225,33.2677165354331,St. Louis
Chris Paddack,4165,32.7952755905512,San Diego
Merrill Kelly,4123,32.4645669291339,Arizona
Jeff Samardzija,4120,32.4409448818898,San Francisco
Jake Arrieta,4092,32.2204724409449,
